

Espécie: Australopithecus afarensis
Melhor indivíduo	Score	Geraçao
[25.0, 25.0, 25.0, 25.0]	1.0	598
[25.0, 25.0, 25.0, 25.0]	1.0	598
[25.0, 25.0, 25.0, 25.0]	1.0	633
[25.0, 25.0, 25.0, 25.0]	1.0	629
[25.0, 25.0, 25.0, 25.0]	1.0	589
[25.0, 25.0, 25.0, 25.0]	1.0	632
[25.0, 25.0, 25.0, 25.0]	1.0	622
[25.0, 25.0, 25.0, 25.0]	1.0	575
[25.0, 25.0, 25.0, 25.0]	1.0	599
[25.0, 25.0, 25.0, 25.0]	1.0	617
[25.0, 25.0, 25.0, 25.0]	1.0	641
[25.0, 25.0, 25.0, 25.0]	1.0	623
[25.0, 25.0, 25.0, 25.0]	1.0	649
[25.0, 25.0, 25.0, 25.0]	1.0	630
[25.0, 25.0, 25.0, 25.0]	1.0	636
[25.0, 25.0, 25.0, 25.0]	1.0	581
[25.0, 25.0, 25.0, 25.0]	1.0	605
[25.0, 25.0, 25.0, 25.0]	1.0	608
[25.0, 25.0, 25.0, 25.0]	1.0	602
[25.0, 25.0, 25.0, 25.0]	1.0	612
[25.0, 25.0, 25.0, 25.0]	1.0	639
[25.0, 25.0, 25.0, 25.0]	1.0	616
[25.0, 25.0, 25.0, 25.0]	1.0	530
[25.0, 25.0, 25.0, 25.0]	1.0	627
[25.0, 25.0, 25.0, 25.0]	1.0	635
[25.0, 25.0, 25.0, 25.0]	1.0	590
[25.0, 25.0, 25.0, 25.0]	1.0	574
[25.0, 25.0, 25.0, 25.0]	1.0	600
[25.0, 25.0, 25.0, 25.0]	1.0	692
[25.0, 25.0, 25.0, 25.0]	1.0	619
[25.0, 25.0, 25.0, 25.0]	1.0	628
[25.0, 25.0, 25.0, 25.0]	1.0	612
[25.0, 25.0, 25.0, 25.0]	1.0	678
[25.0, 25.0, 25.0, 25.0]	1.0	637
[25.0, 25.0, 25.0, 25.0]	1.0	612
[25.0, 25.0, 25.0, 25.0]	1.0	593
[25.0, 25.0, 25.0, 25.0]	1.0	587
[25.0, 25.0, 25.0, 25.0]	1.0	631
[25.0, 25.0, 25.0, 25.0]	1.0	608
[25.0, 25.0, 25.0, 25.0]	1.0	621
Tempo de execução: 	14.0 segundos

Tempo total de execução: 	50.84 segundos
